,0,1
0,1.0,1349.7333
1,0.0,1105.4862
2,1.0,757.9088
3,1.0,1420.6464
4,0.0,1479.0363
5,0.0,1316.2622
6,0.0,1451.3536
7,0.0,1355.1027
8,0.0,1123.2109
9,0.0,1640.2499
10,0.0,1216.2006
11,0.0,1294.5177
12,1.0,1393.4362
13,0.0,1922.2158
14,0.0,1483.3318
15,0.0,1385.494
16,0.0,1425.3187
17,0.0,1096.5376
18,1.0,1299.7345
19,1.0,971.6266
20,0.0,1555.4799
21,1.0,1460.7145
22,1.0,1300.7091
23,0.0,913.7067
24,1.0,1071.8954
25,0.0,970.29407
26,1.0,1115.918
27,0.0,1057.5776
28,0.0,953.43854
29,0.0,1300.6948
30,0.0,1496.5641
31,0.0,970.39197
32,0.0,1301.7574
33,0.0,1924.9653
34,0.0,1192.6133
35,0.0,1404.9852
36,1.0,1409.0007
37,0.0,1324.582
38,0.0,1601.7695
39,0.0,967.5869
40,0.0,1388.113
41,0.0,1388.4526
42,0.0,833.26855
43,1.0,1501.2288
44,1.0,1386.2827
45,1.0,1528.1576
46,0.0,1201.0587
47,1.0,1242.6255
48,0.0,1203.1227
49,1.0,1067.215
50,1.0,1359.0863
51,1.0,1495.0115
52,0.0,1602.6934
53,1.0,1131.552
54,0.0,1178.7827
55,1.0,1309.8794
56,1.0,930.19714
57,1.0,843.58636
58,1.0,1231.8568
59,1.0,1243.4589
60,0.0,1385.7864
61,1.0,1052.7737
62,0.0,1292.3802
63,0.0,1209.1696
64,1.0,1297.6561
65,0.0,1330.898
66,1.0,938.9558
67,0.0,1215.0952
68,0.0,1573.9752
69,0.0,1320.4148
70,1.0,1370.7998
71,1.0,1111.0703
72,0.0,1513.2869
73,1.0,1342.1454
74,0.0,1556.2306
75,1.0,1314.427
76,0.0,1883.6436
77,0.0,1408.361
78,0.0,1288.1754
79,1.0,773.8773
80,0.0,1407.8151
81,0.0,1091.2214
82,0.0,1332.0254
83,0.0,1426.9395
84,0.0,1201.8973
85,1.0,970.35095
86,1.0,1076.6417
87,0.0,1629.499
88,1.0,1147.1508
89,1.0,1080.6744
90,0.0,1118.9867
91,0.0,789.0631
92,0.0,1360.221
93,0.0,1709.0856
94,0.0,1605.4125
95,0.0,1478.711
96,1.0,939.70404
97,1.0,1590.6516
98,0.0,1421.5288
99,0.0,1288.0071
100,0.0,1591.8966
101,0.0,914.46765
102,0.0,1373.4034
103,0.0,1673.0624
104,0.0,1280.4381
105,0.0,1512.4034
106,1.0,1632.1731
107,0.0,1382.5804
108,1.0,1241.558
109,1.0,919.0976
110,0.0,1148.6031
111,1.0,1231.0771
112,1.0,1293.8105
113,0.0,806.57007
114,0.0,1472.6946
115,0.0,1549.0947
116,1.0,1451.9158
117,0.0,1444.6661
118,0.0,1143.4708
119,0.0,1566.4799
120,0.0,1913.2643
121,0.0,1428.0195
122,0.0,1223.749
123,1.0,1248.8479
124,1.0,1119.9208
125,1.0,1381.4468
126,0.0,1491.3522
127,1.0,1807.5193
128,0.0,1372.2477
129,1.0,1158.9164
130,1.0,1550.8851
131,0.0,1734.16
132,0.0,1427.3744
133,1.0,1301.7032
134,0.0,1446.5
135,1.0,1172.4232
136,1.0,1290.102
137,1.0,1038.2427
138,1.0,1245.5692
139,1.0,1106.1176
140,1.0,1162.6365
141,0.0,1276.194
142,1.0,1523.9381
143,0.0,1474.0737
144,1.0,1231.6132
145,0.0,1695.6079
146,1.0,1088.3617
147,0.0,1158.7216
148,1.0,1722.3997
149,1.0,1589.3374
150,0.0,1696.121
151,1.0,1494.1045
152,0.0,1314.0167
153,0.0,1468.4504
154,1.0,1473.6115
155,1.0,983.5747
156,0.0,1380.8147
157,0.0,997.95416
158,1.0,1252.4845
159,0.0,1425.4458
160,1.0,1438.0225
161,1.0,923.755
162,1.0,1194.8589
163,0.0,1303.298
164,1.0,1935.1436
165,1.0,1543.1254
166,0.0,1274.3811
167,1.0,1718.4518
168,0.0,1631.1375
169,1.0,1515.1976
170,1.0,1836.5116
171,1.0,1666.0945
172,1.0,1086.372
173,1.0,1341.2203
174,0.0,1297.9971
175,1.0,1480.0774
176,1.0,1224.7494
177,0.0,1014.8581
178,0.0,1439.3162
179,0.0,1164.8549
180,0.0,1215.4865
181,1.0,983.0116
182,1.0,1368.1771
183,0.0,1328.7338
184,0.0,1570.1814
185,0.0,1256.715
186,0.0,1599.706
187,1.0,1277.5616
188,0.0,1429.4972
189,0.0,1258.4137
190,0.0,1447.8253
191,0.0,1668.4053
192,1.0,1572.8687
193,1.0,1399.685
194,0.0,1419.54
195,0.0,1514.43
196,0.0,1401.3032
197,0.0,1610.6965
198,1.0,1079.2457
199,0.0,1646.2212
200,0.0,1023.15814
201,0.0,1234.2135
202,1.0,1498.7856
203,1.0,1204.4208
204,0.0,1107.6749
205,1.0,1304.2255
206,1.0,1216.1909
207,1.0,1135.7474
208,1.0,1825.2584
209,0.0,1855.8588
210,1.0,1273.3925
211,0.0,1628.1729
212,1.0,1314.9181
213,1.0,1284.9071
214,0.0,1523.318
215,1.0,1142.734
216,1.0,1017.5563
217,1.0,866.4461
218,1.0,1621.0404
219,1.0,835.23816
220,0.0,2195.9146
221,1.0,1502.4259
222,1.0,1543.5254
223,1.0,844.2326
224,0.0,1421.0787
225,0.0,1192.3472
226,0.0,1491.5787
227,1.0,1201.3574
228,1.0,1672.112
229,1.0,1796.5548
230,1.0,1119.7389
231,0.0,1631.1731
232,0.0,1023.61505
233,1.0,1641.1824
234,0.0,1457.2386
235,0.0,1782.3684
236,0.0,1766.7158
237,0.0,1602.5847
238,0.0,1210.5356
239,1.0,1142.9164
240,0.0,1106.4673
241,0.0,1193.8306
242,0.0,1327.1727
243,0.0,1516.2996
