,0,1
0,0.0,1305.4983
1,1.0,1076.8485
2,0.0,1307.6769
3,1.0,1761.8243
4,1.0,1759.7689
5,1.0,1017.7277
6,1.0,1347.2869
7,1.0,1438.8738
8,0.0,789.90967
9,1.0,1258.5132
10,0.0,1166.534
11,1.0,1187.2418
12,1.0,1638.3014
13,0.0,964.53076
14,1.0,1042.9335
15,1.0,1325.646
16,1.0,1273.976
17,0.0,1525.4131
18,1.0,2015.9275
19,0.0,1167.2134
20,0.0,1312.78
21,0.0,1238.4646
22,0.0,1275.9398
23,1.0,1338.5614
24,0.0,1165.0835
25,1.0,1545.2247
26,0.0,1464.7654
27,1.0,1062.9111
28,1.0,1325.7377
29,1.0,1527.8497
30,0.0,1335.0369
31,1.0,936.1589
32,0.0,1208.6367
33,0.0,1124.8944
34,1.0,1004.3538
35,1.0,1579.7671
36,1.0,853.56165
37,0.0,948.87354
38,0.0,1033.4039
39,1.0,1229.921
40,0.0,1098.8933
41,1.0,1492.0088
42,0.0,1531.277
43,1.0,1521.0775
44,0.0,1635.0203
45,0.0,1568.5078
46,0.0,1437.7855
47,1.0,1576.2722
48,0.0,1419.72
49,1.0,783.7452
50,0.0,1338.0264
51,0.0,1249.2834
52,1.0,1287.4124
53,0.0,1341.8878
54,1.0,1412.771
55,0.0,1274.721
56,0.0,1387.8627
57,0.0,1257.8248
58,0.0,1491.7584
59,1.0,1132.346
60,0.0,1286.5546
61,0.0,1268.3845
62,0.0,1166.4227
63,0.0,1319.746
64,0.0,1311.3314
65,0.0,1138.2535
66,1.0,1299.8602
67,1.0,1454.0791
68,0.0,1514.579
69,1.0,1062.3972
70,0.0,1329.5146
71,1.0,1310.8872
72,1.0,774.9256
73,0.0,1167.8016
74,0.0,1685.1119
75,0.0,1492.3455
76,1.0,1346.7943
77,0.0,1777.0533
78,1.0,1299.4403
79,1.0,1406.2999
80,1.0,1386.9078
81,1.0,1366.8877
82,1.0,1200.5686
83,1.0,1704.0155
84,1.0,1148.1238
85,1.0,1538.5061
86,0.0,1111.6742
87,0.0,1507.1287
88,0.0,1554.1432
89,1.0,1410.491
90,0.0,1329.6926
91,1.0,1545.0682
92,0.0,1166.7059
93,0.0,1782.5936
94,1.0,1111.8601
95,1.0,1420.7826
96,1.0,1436.8373
97,0.0,818.236
98,0.0,1222.6753
99,0.0,766.26825
100,0.0,1103.7661
101,1.0,1082.5046
102,1.0,1381.9999
103,0.0,1123.1736
104,1.0,1548.8411
105,0.0,884.6087
106,1.0,1325.7145
107,0.0,1143.4244
108,1.0,901.433
109,0.0,1309.5818
110,1.0,1418.3658
111,0.0,1320.8414
112,0.0,1123.2894
113,0.0,1158.2701
114,1.0,1320.8188
115,1.0,1104.2189
116,0.0,1156.3363
117,1.0,1271.565
118,0.0,1076.2816
119,0.0,1234.5106
120,0.0,1478.5801
121,0.0,1445.8977
122,0.0,960.01996
123,1.0,1310.5378
124,0.0,1605.6384
125,1.0,1727.1901
126,1.0,1217.3428
127,1.0,1965.6915
128,0.0,1679.1536
129,0.0,1043.4219
130,1.0,1488.1028
131,0.0,828.65875
132,0.0,1088.4999
133,1.0,1727.7527
134,0.0,1724.5237
135,1.0,1192.5172
136,1.0,1191.4921
137,0.0,1333.0355
138,0.0,1541.5771
139,0.0,1682.4657
140,0.0,1154.0171
141,1.0,711.6335
142,0.0,1164.9061
143,0.0,1437.2645
144,0.0,1242.1897
145,1.0,1412.3632
146,0.0,1595.946
147,0.0,1326.8147
148,0.0,1427.6436
149,1.0,1397.7091
150,0.0,1735.8464
151,1.0,1416.428
152,1.0,631.8669
153,0.0,1302.3876
154,1.0,1507.5546
155,0.0,1625.5979
156,0.0,1360.8942
157,0.0,1803.4989
158,1.0,1207.322
159,0.0,1630.7606
160,1.0,1659.8381
161,0.0,1194.6145
